timestamp,rss_bytes,rss_human,raw_line
1783782574.63,10518374907.904,,helixllm-coder	9.796GB / 269.7GB	2.00%	70
1783782576.63,10569914515.456,,helixllm-coder	9.844GB / 269.7GB	2.02%	70
1783782578.63,10639707734.016,,helixllm-coder	9.909GB / 269.7GB	2.05%	70
1783782580.63,10708427210.752,,helixllm-coder	9.973GB / 269.7GB	2.08%	70
1783782582.63,10780367912.96,,helixllm-coder	10.04GB / 269.7GB	2.11%	70
1783782584.63,10844792422.4,,helixllm-coder	10.1GB / 269.7GB	2.14%	70
1783782586.63,10919954350.08,,helixllm-coder	10.17GB / 269.7GB	2.16%	70
1783782588.63,10984378859.52,,helixllm-coder	10.23GB / 269.7GB	2.19%	70
1783782590.63,11059540787.2,,helixllm-coder	10.3GB / 269.7GB	2.22%	70
1783782592.63,11134702714.88,,helixllm-coder	10.37GB / 269.7GB	2.25%	70
1783782594.63,11209864642.56,,helixllm-coder	10.44GB / 269.7GB	2.27%	70
1783782596.79,11285026570.24,,helixllm-coder	10.51GB / 269.7GB	2.30%	70
1783782598.63,11349451079.68,,helixllm-coder	10.57GB / 269.7GB	2.33%	70
1783782600.63,11424613007.36,,helixllm-coder	10.64GB / 269.7GB	2.36%	70
1783782602.63,11489037516.8,,helixllm-coder	10.7GB / 269.7GB	2.38%	70
1783782604.63,11574936862.72,,helixllm-coder	10.78GB / 269.7GB	2.41%	70
1783782606.63,11585674280.96,,helixllm-coder	10.79GB / 269.7GB	2.42%	70
1783782608.63,11585674280.96,,helixllm-coder	10.79GB / 269.7GB	2.42%	70
1783782610.63,11585674280.96,,helixllm-coder	10.79GB / 269.7GB	2.42%	70
