agent-deck	git@github.com:asheshgoplani/agent-deck.git	git@github.com:vasic-digital/caf-agent-deck.git	git@gitlab.com:vasic-digital/caf-agent-deck.git
aiagent	git@github.com:Xiaoccer/AIAgent.git	git@github.com:vasic-digital/caf-aiagent.git	git@gitlab.com:vasic-digital/caf-aiagent.git
aichat	git@github.com:sigoden/aichat.git	git@github.com:vasic-digital/caf-aichat.git	git@gitlab.com:vasic-digital/caf-aichat.git
aichat-llm-functions	git@github.com:sigoden/llm-functions.git	git@github.com:vasic-digital/caf-aichat-llm-functions.git	git@gitlab.com:vasic-digital/caf-aichat-llm-functions.git
aider	git@github.com:Aider-AI/aider.git	git@github.com:vasic-digital/caf-aider.git	git@gitlab.com:vasic-digital/caf-aider.git
amazon-q	git@github.com:aws/amazon-q-developer-cli.git	git@github.com:vasic-digital/caf-amazon-q.git	git@gitlab.com:vasic-digital/caf-amazon-q.git
bridle	git@github.com:jeremylongshore/claude-code-plugins-plus-skills.git	git@github.com:vasic-digital/caf-bridle.git	git@gitlab.com:vasic-digital/caf-bridle.git
claude-code	git@github.com:anthropics/claude-code.git	git@github.com:vasic-digital/caf-claude-code.git	git@gitlab.com:vasic-digital/caf-claude-code.git
claude-squad	git@github.com:smtg-ai/claude-squad.git	git@github.com:vasic-digital/caf-claude-squad.git	git@gitlab.com:vasic-digital/caf-claude-squad.git
cli-agent	git@github.com:NathanGr33n/CLI_Tool.git	git@github.com:vasic-digital/caf-cli-agent.git	git@gitlab.com:vasic-digital/caf-cli-agent.git
codai	git@github.com:meysamhadeli/codai.git	git@github.com:vasic-digital/caf-codai.git	git@gitlab.com:vasic-digital/caf-codai.git
codename-goose	git@github.com:jgenerali/codename-goose.git	git@github.com:vasic-digital/caf-codename-goose.git	git@gitlab.com:vasic-digital/caf-codename-goose.git
agent-deck	git@github.com:asheshgoplani/agent-deck.git	git@github.com:vasic-digital/caf-agent-deck.git	git@gitlab.com:vasic-digital/caf-agent-deck.git
aiagent	git@github.com:Xiaoccer/AIAgent.git	git@github.com:vasic-digital/caf-aiagent.git	git@gitlab.com:vasic-digital/caf-aiagent.git
aichat	git@github.com:sigoden/aichat.git	git@github.com:vasic-digital/caf-aichat.git	git@gitlab.com:vasic-digital/caf-aichat.git
aichat-llm-functions	git@github.com:sigoden/llm-functions.git	git@github.com:vasic-digital/caf-aichat-llm-functions.git	git@gitlab.com:vasic-digital/caf-aichat-llm-functions.git
aider	git@github.com:Aider-AI/aider.git	git@github.com:vasic-digital/caf-aider.git	git@gitlab.com:vasic-digital/caf-aider.git
amazon-q	git@github.com:aws/amazon-q-developer-cli.git	git@github.com:vasic-digital/caf-amazon-q.git	git@gitlab.com:vasic-digital/caf-amazon-q.git
